id,bid,user_id,用户昵称,微博正文,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4497024273471038,IEI2LeyYu,3560405567,Zzzz咚咚咚,#罗志祥周扬青分手#像周扬青这么优秀的女人都能被渣、那我根本不配拥有爱情,,,罗志祥周扬青分手,0,0,0,2020-04-24 00:00,iPhone客户端,['http://ww1.sinaimg.cn/large/d4377a3fgy1ge4578hstrj22bz2bzhdu.jpg'],,
4497024260835844,IEI2K3vrm,2117973331,马记特色包子,#罗志祥周扬青分手#人跟人不同！有些人真的是骨子里的，血液里的，还有可能是遗传基因里的！总之，改不了的！,天津·昆俞家园,,罗志祥周扬青分手,0,1,1,2020-04-23 23:59,HUAWEI Mate30 Pro 5G,,,
4497024252680857,IEI2JbfpD,1862229084,于飞Alan,星爷神预言#西游降魔篇##罗志祥周扬青分手##罗志祥怎么做的时间管理##罗志祥#,安康,,"西游降魔篇,罗志祥周扬青分手,罗志祥怎么做的时间管理,罗志祥",0,0,1,2020-04-23 23:59,HUAWEI Mate 20 Pro,['http://ww1.sinaimg.cn/large/6eff5c5cly1ge455ygyctj22eo140hdt.jpg'],,
4497024252391470,IEI2Ja286,1893141635,华工酸奶V,分手本来只是两个人的事，但由于分手费没谈妥，我决定用舆论来nèng他。因为前段时间突如其来的疫情，那时人人自危，我发了也没吊用，我看现在差不多是时候了，抱歉我要开始占用公共资源了，老铁们，咬他！#罗志祥周扬青分手#,,,罗志祥周扬青分手,0,0,1,2020-04-23 23:59,Android,['http://ww3.sinaimg.cn/large/70d70c83gy1ge457nii4pj21hc0u0wiw.jpg'],,
4497024248748665,IEI2IAHVv,3636664107,rainy夏雨,讲真的，我一直在等罗志祥和周扬青结婚呢，我就纳闷了，怎么九年了都还不结婚，他都四五十了！我真的越来越喜欢周扬青了，女孩子只有自己各方面有能力，优秀！才能真正地为自己的委屈发声！#罗志祥回应##罗志祥周扬青分手#,,,"罗志祥回应,罗志祥周扬青分手",0,2,5,2020-04-23 23:59,iPhone客户端,,,
4497024240295825,IEI2I1eXn,5754690945,悦哥是少女_y,#罗志祥手机#去年的421页pdf哪个集美还没吃？#421事件#还有其他的瓜搬好小板凳！今天瓜太多了，吃了一天还没消化哈哈！#罗志祥回应##罗志祥周扬青分手#快来跟我一起吃瓜,,,"罗志祥手机,421事件,罗志祥回应,罗志祥周扬青分手",0,92,422,2020-04-23 23:59,iPhone 7 Plus,"['http://ww1.sinaimg.cn/large/006hs5ZTly1ge455lohkej30u0111aeh.jpg', 'http://ww4.sinaimg.cn/large/006hs5ZTly1ge45625323j30u01hcb29.jpg', 'http://ww2.sinaimg.cn/large/006hs5ZTly1ge4544mferj30ty1rc0yi.jpg', 'http://ww1.sinaimg.cn/large/006hs5ZTly1ge4543e9nfj30ty1qwdla.jpg', 'http://ww3.sinaimg.cn/large/006hs5ZTly1ge4545tbg0j30u011atb6.jpg', 'http://ww1.sinaimg.cn/large/006hs5ZTly1ge4546bhxsj30u01hc75q.jpg']",,
4497024239693635,IEI2HEFKX,2609775750,娱乐建,南宁精神领袖周某出狱，月入过万的网红诞生，南宁罗志祥甘拜下风#罗志祥回应##罗志祥周扬青分手#O网页链接,,,"罗志祥回应,罗志祥周扬青分手",0,0,0,2020-04-23 23:59,微博云剪,,,
4497024193943392,IEI2DgxR6,3907451544,娱乐圈圈说,#罗志祥周扬青分手#这个被沈梦辰叫福尔摩斯的那个女生，就是告诉你了男人会撒谎，但是手机不会，教你们#从哪里发现伴侣异常#的，姐妹们赶紧学起来！L用户1587550033861的秒拍视频,,,"罗志祥周扬青分手,从哪里发现伴侣异常",1,0,14,2020-04-23 23:59,iPhone客户端,,"http://miaopai.video.weibocdn.com/VroofK0llx07CHsPOlAQ0104120067XD0E013.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587751483&ssig=DgPRWIgoRf&KID=unistore,video",
4497024177351647,IEI2BuQuX,3294085851,D女郎若苏,#罗志祥周扬青分手#天啊，无法想象，居然分手了，罗志祥你的眼袋一直让我以为，眼袋也是美，现在发现，眼袋真的不美#周扬青##罗志祥#,赣州,,"罗志祥周扬青分手,周扬青,罗志祥",0,0,2,2020-04-23 23:59,iPhone XR,"['http://ww4.sinaimg.cn/large/c457c2dbgy1ge4570c2q2j20n01dsng0.jpg', 'http://ww1.sinaimg.cn/large/c457c2dbgy1ge456zpg7aj20n01ds1ae.jpg', 'http://ww4.sinaimg.cn/large/c457c2dbgy1ge4570y6nwj20n01ds18i.jpg']",,
4497024176777606,IEI2Bsrae,5846555467,Dear莉莉_,#本人黑眼圈声明##罗志祥周扬青分手#赶紧睡觉呗要不然有黑眼圈,,,"本人黑眼圈声明,罗志祥周扬青分手",0,1,2,2020-04-23 23:59,nova4自拍极点全面屏,['http://ww2.sinaimg.cn/large/006nFy9Jly1ge456nsje3j31hc1hchdt.jpg'],,
4497024172849248,IEI2BbXdC,6328057669,珍珠的表哥,朋友圈炸了#罗志祥周扬青分手#,,,罗志祥周扬青分手,1,2,11,2020-04-23 23:59,,"['http://ww1.sinaimg.cn/large/006UfSShly1ge4578spemj30ta08fjs0.jpg', 'http://ww1.sinaimg.cn/large/006UfSShly1ge457963v8j30sq094jru.jpg', 'http://ww4.sinaimg.cn/large/006UfSShly1ge4579qlb0j30sp0bcab3.jpg', 'http://ww4.sinaimg.cn/large/006UfSShly1ge4579zupzj30ss090jrv.jpg', 'http://ww4.sinaimg.cn/large/006UfSShly1ge457acvvfj30su08qaak.jpg', 'http://ww1.sinaimg.cn/large/006UfSShly1ge457b4aa7j30t10b0js2.jpg', 'http://ww2.sinaimg.cn/large/006UfSShly1ge457bj00zj30t00b9mxn.jpg', 'http://ww1.sinaimg.cn/large/006UfSShly1ge457bvjvuj30t30a7gmg.jpg', 'http://ww1.sinaimg.cn/large/006UfSShly1ge457c7zc1j30t809c3z3.jpg']",,
4497024131012788,IEI2x4fti,7112837640,思源加油,#罗志祥周扬青分手##罗志祥回应#没有什么人是你永远的依靠，唯有自己；没有什么东西不可以放下，唯有赚钱的本领。,,,"罗志祥周扬青分手,罗志祥回应",0,1,0,2020-04-23 23:59,小米8周年旗舰手机,,,
4497024110200661,IEI2v0Qct,1243021947,智娱至乐,#罗志祥周扬青分手#罗志祥的情史被前女友周扬青曝光，刷新了很多人的三观，也成为极限兄弟团甚至娱乐圈最花心男星的代表。年届不惑的罗志祥看起来还比较年轻，很多人觉得他大龄未婚，是想维持年轻的状态，所以与女友周扬青相恋九年都没结婚生子。但是前不久罗志祥与女友分手，最近被女友曝光其私生活相当混乱花心，让很多人都非常意外甚至震惊。这样一比较，罗志祥比喜新厌旧的王迅花心太多了。,,,罗志祥周扬青分手,27,6,16,2020-04-23 23:59,360安全浏览器,['http://ww2.sinaimg.cn/large/4a17027bgy1ge4572l2n6j20qe0g34fk.jpg'],,
4497024042523317,IEI2oaAqF,5699288936,李晓暄er,一大早，朋友就发微信让我看微博，我真没信都，看完了颠覆我三观了。周扬青罗志祥分手了，大概都难以置信吧，9年，周扬青说，他所有的爱所有的浪漫哭过笑过，一起熬夜，说这么爱他的一个男孩怎么可能会这样，大概她也是在崩溃的夜晚想着罗志祥的好吧。我就在想，我怎么熬过来的，我在公寓躲在衣柜里哭了一整夜的那个夜晚，我脑子里想的也是你给我的好，我在家里，躺了半个月。不想见任何人，不想说话，蒙着被，哭着看我们从相识到结束的聊天记录，看着照片，看着朋友圈，所有的社交软件从不会没你。甚至到现在，我也会看看我自己隐藏的作品，我就承认自己还是没有放下。我自己至今都不敢相信，你这么爱我，我们也一起哭过，笑过，闹过，一起熬夜，你也对我浪漫过，快乐过，我不开心你也会逗我，一天24小时腻歪一起，怎么可能会变成这样，我这辈子大概永远忘不了你逼我走的那瞬间！！！毕竟爱过，同时我也感谢你。也许真性分手时没有理由。趁着酒劲，一下给我整难受了。女人总是长篇大论到说委屈和难过。也不知道是为什么，每个夜晚都难熬吧。不爱你的，你死了也没人在乎。与其这样，不如接受现实。别指望他真的会为你改变。更不要陪一个男孩长大，因为他会让心疼到窒息。这就是我的下场。这句话是真的。都不值得。我会反思我自己。,,,,0,0,2,2020-04-23 23:59,iPhone客户端,,,
4497024038483505,IEI2nzAWJ,6630652821,麻辣酱_Ling,可能最后就是那个最敏感的人更受伤吧我在你眼里重要？可能也不是很重要吧不然喜欢一个人怎么舍得她伤心难过呢对吧其实我真的不喜欢没回你信息却发在朋友圈的行为不喜欢聊天发呃这些变了？淡了？还是厌我了？现在好像也不能无话不说了吧…喔可能星座有时候也挺对的呵呵花心是花心，专一是专一，两者不一样既然你选择了帅气的男生，就要受的了别人也会爱上他的颜和来自好看的人该有的魅力，受不了你还是得受，谁叫你喜欢他呢对吧别人能自由自在的想发什么就发什么想不回复时就不回复，可你害怕这害怕那的每天要睡了告诉他，起床了又发，可能他真的还是会烦你，而且你的疑心又重，真的害怕成了你的讨厌鬼…告诉你说吃胖没事可能不是真的，你还是好好减肥变瘦变漂亮吧，这样才会让你有一点点资本…#罗志祥周扬青分手#,,,罗志祥周扬青分手,0,0,0,2020-04-23 23:59,Android,,,
4497024013810108,IEI2lfZbm,3823592841,丹儿的淑女范er,只爱一人有那么难嘛？#罗志祥周扬青分手#,郑州,,罗志祥周扬青分手,0,2,2,2020-04-23 23:58,iPhone客户端,['http://ww3.sinaimg.cn/large/e3e76589ly1ge455m33ujj20ag0azdgv.jpg'],,
4497024000820066,IEI2k3rkS,1047634752,也太会玩了,周扬青素颜跳舞，大头滤镜表情魔性，尽显真性情#罗志祥周扬青分手##周扬青终于不用为了你打繁体了#L也太会玩了的微博视频,,,"罗志祥周扬青分手,周扬青 终于不用为了你打繁体了",0,0,3,2020-04-23 23:58,微博云剪,,"http://f.video.weibocdn.com/55EqjG0slx07CJnrRNIs01041200dtew0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587751517&ssig=Pj4bwypI45&KID=unistore,video",
4497023967805196,IEI2gwKug,1884817063,玖蔻洗护创始人隋玉坤,最近都是震撼三观的新闻罗志祥背叛周扬青天猫总裁夫人diss小三其实第三者就是多余的意思，喜欢这个角色的人都是无底线，无原则的。并不是一句“我也没办法爱上了已婚男人”就可以被理解的。如今社会发展迅速可是老祖宗传承的德行不能丢。婚姻是两个人共同营造的，女人有的孩子以后很难潇洒起来。因为只有经历了十月怀胎剖腹7层才懂得孕育生命的不易。不管你已婚未婚都应该持有正确的三观去面对生活要记得人在做天在看很多事不是不报时候未到！2020年也不会再糟糕了生活还是要继续愿我们每个人面对困难都能积极向上、微笑看淡！#罗志祥周扬青分手#,,,罗志祥周扬青分手,0,0,1,2020-04-23 23:58,iPhone X,,,
4497023958938153,IEI2fBvdL,6260158872,ppppwano,今天的你@叫我海波就可以了错过了什么呢？错过了周扬青罗志祥分手错过了长宁地震吓到我了错过了拿钱办事的我错过了我的惊讶恐慌和难过,,叫我海波就可以了,,0,1,1,2020-04-23 23:58,Android,['http://ww1.sinaimg.cn/large/006PEZiogy1ge456fkihjj30u01rcn07.jpg'],,
4497023899865816,IEI29Foy4,6381230699,诺坎普南看台上的懂球妹,#罗志祥周扬青分手#刚看到很复杂《优我》《鸡条》……不是粉但是好像一路都陪着了也有过好感…,,,罗志祥周扬青分手,0,0,1,2020-04-23 23:58,复杂的一只咕咕咕,,,
4497023895651185,IEI29nI89,5166888238,元气少女郭德纲Tt,自己的感情没有着落跟着别人的感情大起大落#罗志祥周扬青分手#,,,罗志祥周扬青分手,0,0,2,2020-04-23 23:58,iPhone客户端,"['http://ww4.sinaimg.cn/large/005DFJF4ly1ge455u7imcj30j60jawfs.jpg', 'http://ww4.sinaimg.cn/large/005DFJF4ly1ge455tukbdj30j60hzmyv.jpg']",,
4497023875270410,IEI27m74C,5136940352,娱乐冷,元宋喝酒向后妈吐槽，叶鹿鸣挖墙脚等他下岗，后妈让他追回贺繁星#罗志祥曾截胡欧弟女友##罗志祥周扬青分手#L娱乐冷的微博视频,,,"罗志祥曾截胡欧弟女友,罗志祥周扬青分手",0,0,0,2020-04-23 23:58,微博云剪,,"http://f.video.weibocdn.com/imM2hjrElx07CJnpGM0o010412004RNR0E010.mp4?label=mp4_ld&template=480x270.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587751517&ssig=BCjqhhA5%2Fh&KID=unistore,video",
4497023870648911,IEI272IOj,5583645100,宇宙超级无敌可爱美少女杨暖暖,今天的瓜也太多了，吃的我想吐先是罗志祥周扬青分手(真的太渣了，知人知面不知心哪)然后是彭彭终于恋爱了又是dq(但愿不是真的，但估计八九不离十了)，又是jin(也不知道真的假的)，今天的瓜着实有点多几个月了！我终于！吃到蛋糕了(穿着我那一身衣服出去的:弟弟的帽子➕口罩😷➕高中校服➕扯了的初中裤子➕没穿袜子的脏不溜秋的穿着很热的贝壳鞋)晚上给自己烤了鸡翅，薯片，虾！还吃了半熟芝士(敲好吃！贵的一块我把它归结到包装上)，提拉米苏(变小了！！！)(好利来还换袋子了，花里胡哨的，我喜欢)此处提到z某人，爆肚香不？,,,,0,9,14,2020-04-23 23:58,vivo S1 Pro 升降自拍,"['http://ww3.sinaimg.cn/large/0065Sp9Wly1ge4558570nj31w01w04qp.jpg', 'http://ww2.sinaimg.cn/large/0065Sp9Wly1ge4558q4ipj31w01w04qp.jpg', 'http://ww1.sinaimg.cn/large/0065Sp9Wly1ge4559i707j31w01w01kx.jpg', 'http://ww1.sinaimg.cn/large/0065Sp9Wly1ge4559zxfaj31w01w0kgw.jpg', 'http://ww4.sinaimg.cn/large/0065Sp9Wly1ge455yuf09j30u0140dln.jpg', 'http://ww4.sinaimg.cn/large/0065Sp9Wly1ge455bezrjj31w02io7wh.jpg', 'http://ww2.sinaimg.cn/large/0065Sp9Wly1ge455bv2ydj31w02iohbt.jpg', 'http://ww3.sinaimg.cn/large/0065Sp9Wly1ge455cg55vj31w02ioqr9.jpg', 'http://ww3.sinaimg.cn/large/0065Sp9Wly1ge455cv1i8j31w02ioat5.jpg']",,
4497023837234874,IEI23um7w,3728320733,-晚风吻别,姐妹们一起吃瓜#罗志祥周扬青分手##罗志祥甄的有料#,,,"罗志祥周扬青分手,罗志祥甄的有料",0,0,0,2020-04-23 23:58,HUAWEI P20 Pro,"['http://ww4.sinaimg.cn/large/de39a8ddgy1ge455y87t4j20hs0w8jtv.jpg', 'http://ww4.sinaimg.cn/large/de39a8ddgy1ge455yr67yj20hl0uzgq4.jpg']",,
4497023833029493,IEI23cI6N,5872434251,小田小田可萌可甜,#罗志祥周扬青分手#不知道今天有多少男孩子因为“情侣的信任是不看手机”被老婆逮了个正着,,,罗志祥周扬青分手,0,0,0,2020-04-23 23:58,,,,
4497023825209694,IEI22lRhk,6229365520,搞笑沧,余欢水绑票还能遇见截胡的，仨憨憨这运气也是够了#罗志祥曾截胡欧弟女友##罗志祥周扬青分手#L搞笑沧的微博视频,,,"罗志祥曾截胡欧弟女友,罗志祥周扬青分手",0,1,0,2020-04-23 23:58,微博云剪,,"http://f.video.weibocdn.com/KNQ6gGIjlx07CJnoHBAk01041200ag3e0E010.mp4?label=mp4_ld&template=640x360.25.0&trans_finger=40a32e8439c5409a63ccf853562a60ef&Expires=1587751517&ssig=rWF9N%2BbKl0&KID=unistore,video",
4497023824315376,IEI22i6CQ,2270220653,陈恩琪-kindness-MR,汪峰老师能够精确推算出其他明星出大瓜的日期，并已发布新歌的方式委婉的提醒粉丝他才是（娱乐圈第一预言家）汪峰：我发新歌上不了热搜，但是就因为我上不了热搜而上了热搜......#帮汪峰上头条##罗志祥周扬青分手#汪峰也算是平凡无奇八卦小天才,,,"帮汪峰上头条,罗志祥周扬青分手",0,0,2,2020-04-23 23:58,iPhone客户端,['http://ww3.sinaimg.cn/large/8750d16dgy1ge455ryq6fj20qo0ghq4l.jpg'],,
